itemCode,descriptionEng,descriptionChi,unit,packageUnit,unitPrice,cost
151103,LYRECO PERMANENT MARKER C/TIP BLACK,Lyreco 箱頭筆 平咀 1.3 - 3.8毫米 黑色,EA,1,5,
151114,LYRECO PERMANENT MARKER C/TIP BLUE,Lyreco 箱頭筆 平咀 1.3 - 3.8毫米 藍色,EA,1,5,
151125,LYRECO PERMANENT MARKER C/TIP RED,Lyreco 箱頭筆 平咀 1.3 - 3.8毫米 紅色,EA,1,5,
151136,LYRECO PERMANENT MARKER C/TIP GREEN,Lyreco 箱頭筆 平咀 1.3 - 3.8毫米 綠色,EA,1,5,
151158,LYRECO PERMANENT MARKER B/TIP BLACK,Lyreco 箱頭筆 圓咀 1.1毫米 黑色,EA,1,5,
151169,LYRECO PERMANENT MARKER B/TIP BLUE,Lyreco 箱頭筆 圓咀 1.1毫米 藍色,EA,1,5,
151171,LYRECO PERMANENT MARKER B/TIP RED,Lyreco 箱頭筆 圓咀 1.1毫米 紅色,EA,1,5,
151193,LYRECO PERMANENT MARKER B/TIP GREEN,Lyreco 箱頭筆 圓咀 1.1毫米 綠色,EA,1,5,
151342,BX2100 LYRECO M/PURPOSE LABEL 63.5X38.1,Lyreco 多用途圓角標籤 63.5 x 38.1毫米 每盒2100個標籤,EA,1,100,
151353,BX1600 LYRECO M/PURPOSE LABEL 99.1X33.9,Lyreco 多用途圓角標籤 99.1 x 33.9毫米 每盒1600個標籤,EA,1,100,
151397,BX1400 LYRECO M/PURPOSE LABEL 99.1X38.1,Lyreco 多用途圓角標籤 99.1 x 38.1毫米 每盒1400個標籤,EA,1,100,
151409,BX800 LYRECO M/PURPOSE LABEL 99.1X67.7,Lyreco 多用途圓角標籤 99.1 x 67.7毫米 每盒800個標籤,EA,1,100,
151444,DYMO 41913 D1 TAPE 9MMX7M BLK/WH,DYMO D1 標籤帶 9毫米 x 7米 黑色字白色底,EA,1,135,
151455,DYMO 40918 D1 TAPE 9MMX7M BLK/YLLW,DYMO D1 標籤帶 9毫米 x 7米 黑色字黃色底,EA,1,135,
151466,DYMO 40910 D1 TAPE 9MMX7M BLK/CLEAR,DYMO D1 標籤帶 9毫米 x 7米 黑色字透明底,EA,1,135,
152414,LYRECO DIVIDER 1-20  PP A4 120MICRON GRY,Lyreco A4 塑膠索引分類 1-20,EA,1,25.5,
155595,RM500 TROPHEE 1878 PAP A4 80G ORANGE,Trophee A4 顏色紙 80磅 粉橙色 - 每捻500張,EA,1,77,
157227,RM500 LYRECO PREMIUM PAPER A4 80G WH,Lyreco Premium A4 優質影印紙 80磅 - 每箱5捻 (每捻500張),BOX,5,24.9,
157796,RM500 LYRECO MULTI PAPER A4 80G WH,Lyreco A4 多功能影印紙 80磅 - 每箱5捻 (每捻500張),BOX,5,25.4,
159463,RM500 TROPHEE 1973 PAP A4 80G PINK,Trophee A4 顏色紙 80磅 粉紅色 - 每捻500張,EA,1,77,
159474,RM500 TROPHEE 1977 PAP A4 80G CANARY,Trophee A4 顏色紙 80磅 粉黃色 - 每捻500張,EA,1,72.7,
160137,RM250 DCP 1844 PAPER A4 120G WH,DCP A4 彩色鐳射專用紙 120磅 - 每捻250張,EA,1,59.1,
160148,RM250 DCP 1842 PAPER A4 160G WH,DCP A4 彩色鐳射專用紙 160磅 - 每捻250張,EA,1,88.7,
160159,RM500 DCP 1821 PAPER A4 100G WH,DCP A4 彩色鐳射專用紙 100磅 - 每捻500張,EA,1,107.8,
160844,CARL 120 H/DUTY PAPER PUNCH 145 SHEET,CARL 120 重型打孔機,EA,1,1139.1,
161038,PK100 EPSON S041061 INKJET PAP A4 100G,EPSON C13S041061 A4 噴墨相紙 102磅 - 每包100張,EA,1,91.5,
161596,BULL DOG LETTER CLIP 31MM SILVER,鋼夾 1.25吋,EA,1,1.8,
161619,BULL DOG LETTER CLIP 50MM SILVER,鋼夾 2吋,EA,1,3.9,
161632,BULL DOG LETTER CLIP 75MM SILVER,鋼夾 3吋,EA,1,6.1,
161756,BX12 FOLD BACK CLIPS 7X19MM BLACK,黑色回尾夾 0.75吋 - 每盒12個,EA,1,1.5,
161767,PK12 FOLD BACK CLIPS 12X25MM BLACK,黑色回尾夾 1吋 - 每盒12個,EA,1,2.9,
161778,BX12 FOLD BACK CLIPS 15X32MM BLACK,黑色回尾夾 1.25吋 - 每盒12個,EA,1,5.7,
161791,BX12 FOLD BACK CLIPS 29X51MM BLACK,黑色回尾夾 2吋 - 每盒12個,EA,1,11.2,
163786,PK2 ENERGIZER L91/LR6/AA LITH BATT 1.5V,Energizer 勁量 鋰電池 L91 AA - 2粒裝,EA,1,95.7,
168919,CLIPBOARD FOLDOVER A4 BLUE,包膠板夾 藍色 A4,EA,1,18.6,
171999,TWIN LIFT 6000 BLK,TWINCO 腳凳,EA,1,546,
174102,BANTEX 4010 MAGAZINE RACK BLACK,Bantex 辦得事 可摺疊雜誌架 黑色,EA,1,28.9,
175971,BROTHER TZE344 TAPE 18MM BLACK/GOLD,Brother TZe 型標籤帶 TZe-344 18毫米x8米 金色字黑色底,EA,1,152,
176085,BROTHER TZE222 TAPE 9MM RED/WH,Brother TZe 型標籤帶 TZe-222 9毫米x8米 紅色字白色底,EA,1,107,
176996,PK20 KEY RINGS ASSTD COL,鎖匙牌 - 每包20個,EA,1,33.7,
177396,PENTEL P205 MECHANICAL PENCIL 0.5MM,Pentel P205 鉛芯筆 0.5毫米 黑色,EA,1,36.6,
177591,BROTHER TZE135 TAPE 12MM WH/CLR,Brother TZe 型標籤帶 TZe-135 12毫米x8米 白色字透明底,EA,1,123,
177727,STAEDTLER 775 MARS MICRO MEC PEN 0.5MM,STAEDTLER 施德樓 775 鉛芯筆 0.5毫米,EA,1,36.8,
177795,UNI LAKNOCK B/POINT PEN 0.7MM BLK,三菱 SN-101 Laknock 按掣原子筆 0.7毫米 黑色,EA,1,7,
177807,UNI LAKNOCK B/POINT PEN 0.7MM BLU,三菱 SN-101 Laknock 按掣原子筆 0.7毫米 藍色,EA,1,7,
177831,UNI LAKNOCK B/POINT PEN 0.7MM RED,三菱 SN-101 Laknock 按掣原子筆 0.7毫米 紅色,EA,1,7,
